gender,first-name,last-name,date-bought-car,year-bought-car,car-make,engine-type,year-of-visit,date-of-visit,car-age-in-years,car-miles,car-age-in-months,has-issue-in-first-10k
Female,AVA,CASTRO,2018-07-01,2018,Manufacturer_3,diesel,2020,2020-11-05,2,41558,28,False
Female,AVA,VO,2009-12-01,2009,Manufacturer_1,petrol,2017,2017-07-02,8,123256,91,False
Female,OLIVIA,BENTON,2011-07-01,2011,Manufacturer_1,diesel,2016,2016-01-06,5,91510,54,False
Female,ALEXA,JUAREZ,2015-12-01,2015,Manufacturer_2,diesel,2017,2017-09-01,2,14024,21,False
Male,DYLAN,ANDERSEN,2006-10-01,2006,Manufacturer_5,petrol,2011,2011-08-03,5,65820,58,False
Female,MADISON,PROCTOR,2008-10-01,2008,Manufacturer_1,diesel,2009,2009-02-02,1,14485,4,False
Male,JAYDEN,RICHARD,2019-01-01,2019,Manufacturer_4,petrol,2020,2020-11-10,1,19224,22,False
Female,PENELOPE,CHUNG,2009-04-01,2009,Manufacturer_1,diesel,2012,2012-06-07,3,71061,38,False
Female,PENELOPE,SANTANA,2007-10-01,2007,Manufacturer_1,diesel,2009,2009-07-04,2,23998,21,False
Male,ANGEL,DURHAM,2016-07-01,2016,Manufacturer_1,petrol,2017,2017-02-23,1,10566,7,False
Male,ANDREW,SHIELDS,2017-11-01,2017,Manufacturer_1,diesel,2018,2018-06-20,1,23168,7,False
Male,JOSE,MCCLURE,2013-07-01,2013,Manufacturer_2,diesel,2015,2015-05-02,2,16902,22,False
Male,DANIEL,BUCKLEY,2019-08-01,2019,Manufacturer_4,petrol,2020,2020-08-11,1,15762,12,False
Female,EMILY,SPENCER,2009-10-01,2009,Manufacturer_5,diesel,2013,2013-03-09,4,44432,41,False
Female,NATALIE,JOSEPH,2015-09-01,2015,Manufacturer_1,diesel,2018,2018-05-20,3,52245,32,False
Female,BRIANNA,PARKER,2009-09-01,2009,Manufacturer_4,diesel,2014,2014-04-02,5,36520,55,False
Male,MICHAEL,SALAZAR,2012-07-01,2012,Manufacturer_5,petrol,2016,2016-11-22,4,65112,52,False
Female,OLIVIA,LEE,2008-01-01,2008,Manufacturer_3,petrol,2017,2017-12-12,9,224775,119,False
Female,ZOE,COOPER,2007-04-01,2007,Manufacturer_5,diesel,2012,2012-06-12,5,94750,62,False
Male,LUIS,WALTON,2013-08-01,2013,Manufacturer_3,diesel,2018,2018-01-14,5,50125,53,False
Male,RYAN,HURST,2017-12-01,2017,Manufacturer_1,diesel,2020,2020-08-22,3,58878,32,False
Male,SEBASTIAN,BENSON,2005-11-01,2005,Manufacturer_3,petrol,2009,2009-10-01,4,80628,47,False
Female,NATALIE,CAMPOS,2018-05-01,2018,Manufacturer_2,petrol,2020,2020-04-19,2,9424,23,True
Male,JACOB,NEAL,2010-07-01,2010,Manufacturer_5,diesel,2014,2014-11-23,4,45836,52,False
Female,SAMANTHA,TRUJILLO,2008-02-01,2008,Manufacturer_4,diesel,2016,2016-10-17,8,131432,104,False
Female,ANGELINA,COFFEY,2009-02-01,2009,Manufacturer_4,petrol,2013,2013-03-09,4,84116,49,False
Female,MIA,HANSEN,2008-07-01,2008,Manufacturer_4,diesel,2010,2010-09-23,2,44952,26,False
Female,ISABELLA,CRUZ,2005-08-01,2005,Manufacturer_2,diesel,2009,2009-05-14,4,29548,45,False
Female,SOFIA,ZAMORA,2019-10-01,2019,Manufacturer_2,diesel,2020,2020-11-22,1,11687,13,False
Female,SAMANTHA,ALEXANDER,2008-05-01,2008,Manufacturer_1,diesel,2017,2017-12-09,9,191484,115,False
Female,SAMANTHA,CUNNINGHAM,2012-10-01,2012,Manufacturer_1,diesel,2015,2015-07-05,3,34122,33,False
Male,BRANDON,LARSON,2014-11-01,2014,Manufacturer_4,diesel,2018,2018-11-08,4,89928,48,False
Male,BRANDON,DELGADO,2017-06-01,2017,Manufacturer_2,petrol,2020,2020-10-07,3,18846,40,False
Female,ALYSSA,DAY,2011-10-01,2011,Manufacturer_2,diesel,2018,2018-12-25,7,107926,86,False
Female,MADISON,HURLEY,2006-12-01,2006,Manufacturer_1,diesel,2010,2010-05-17,4,67072,41,False
Male,ALEXANDER,STEIN,2016-07-01,2016,Manufacturer_5,petrol,2020,2020-08-10,4,38556,49,False
Male,JAMES,MASON,2008-07-01,2008,Manufacturer_2,petrol,2014,2014-10-03,6,76164,75,False
Male,JOSHUA,ACOSTA,2018-12-01,2018,Manufacturer_5,diesel,2020,2020-01-04,2,20824,13,False
Female,EMMA,KAUR,2008-11-01,2008,Manufacturer_1,petrol,2017,2017-11-02,9,171936,108,False
Male,DAVID,MCCARTY,2016-09-01,2016,Manufacturer_4,diesel,2020,2020-05-20,4,77436,44,False
Male,MICHAEL,FRAZIER,2016-09-01,2016,Manufacturer_2,petrol,2018,2018-02-15,2,19084,17,False
Male,ADRIAN,BYRD,2016-04-01,2016,Manufacturer_2,petrol,2019,2019-05-10,3,36138,37,False
Female,ISABELLA,PETERSON,2008-10-01,2008,Manufacturer_1,petrol,2012,2012-11-20,4,82868,49,False
Female,SCARLETT,ROLLINS,2016-08-01,2016,Manufacturer_1,petrol,2020,2020-10-08,4,73896,50,False
Male,ADRIAN,HULL,2006-05-01,2006,Manufacturer_3,petrol,2014,2014-07-04,8,97600,98,False
Female,ISABELLA,BALDWIN,2019-11-01,2019,Manufacturer_2,diesel,2020,2020-05-09,1,21968,6,False
Female,EMILY,BLANKENSHIP,2007-12-01,2007,Manufacturer_2,petrol,2015,2015-08-03,8,39112,92,False
Female,SAMANTHA,WU,2009-07-01,2009,Manufacturer_3,petrol,2014,2014-02-11,5,124075,55,False
Female,KIMBERLY,MAYNARD,2005-05-01,2005,Manufacturer_5,diesel,2011,2011-09-24,6,52170,76,False
Female,ABIGAIL,BRIGGS,2009-12-01,2009,Manufacturer_2,petrol,2012,2012-10-14,3,47721,34,False
Male,CHRISTOPHER,WILLIAMS,2005-11-01,2005,Manufacturer_1,diesel,2013,2013-09-06,8,152168,94,False
Male,ALEXANDER,HALEY,2013-12-01,2013,Manufacturer_1,petrol,2016,2016-06-13,3,35454,30,False
Female,VICTORIA,VASQUEZ,2016-06-01,2016,Manufacturer_4,petrol,2020,2020-05-09,4,69160,47,False
Female,ASHLEY,LESTER,2010-02-01,2010,Manufacturer_2,petrol,2017,2017-11-17,7,93219,93,False
Male,ANDREW,PACHECO,2005-10-01,2005,Manufacturer_2,diesel,2009,2009-09-18,4,26908,47,False
Male,BRANDON,MAXWELL,2014-07-01,2014,Manufacturer_1,petrol,2017,2017-08-04,3,39366,37,False
Female,EVELYN,BOOTH,2018-11-01,2018,Manufacturer_3,diesel,2020,2020-04-04,2,9968,17,True
Female,AMELIA,CALDWELL,2009-01-01,2009,Manufacturer_3,petrol,2018,2018-01-12,9,102402,108,False
Male,ANTHONY,CRANE,2013-08-01,2013,Manufacturer_3,diesel,2016,2016-01-04,3,52776,29,False
Male,NATHAN,CISNEROS,2014-07-01,2014,Manufacturer_1,petrol,2020,2020-06-22,6,99966,71,False
Female,KIMBERLY,VALENTINE,2007-06-01,2007,Manufacturer_1,diesel,2010,2010-09-02,3,53568,39,False
Male,JULIAN,BAXTER,2016-12-01,2016,Manufacturer_2,petrol,2018,2018-01-16,2,45974,13,False
Female,EMILY,DONOVAN,2011-05-01,2011,Manufacturer_1,petrol,2017,2017-08-15,6,72054,75,False
Female,JESSICA,PETERSEN,2014-09-01,2014,Manufacturer_5,petrol,2018,2018-12-24,4,69432,51,False
Female,SAMANTHA,CRUZ,2009-07-01,2009,Manufacturer_4,diesel,2018,2018-08-24,9,46017,109,False
Male,MATTHEW,COSTA,2017-09-01,2017,Manufacturer_3,diesel,2020,2020-07-16,3,32397,34,False
Male,ALEXANDER,FOLEY,2017-11-01,2017,Manufacturer_5,petrol,2019,2019-04-16,2,46586,17,False
Female,BRIANNA,RIVERS,2017-03-01,2017,Manufacturer_1,petrol,2018,2018-10-20,1,23201,19,False
Male,DAVID,NELSON,2019-11-01,2019,Manufacturer_1,petrol,2020,2020-02-11,1,22170,3,False
Female,OLIVIA,GUEVARA,2008-07-01,2008,Manufacturer_1,diesel,2013,2013-11-10,5,50535,64,False
Male,JONATHAN,SINGLETON,2009-04-01,2009,Manufacturer_3,diesel,2012,2012-11-11,3,30087,43,False
Female,JESSICA,HUDSON,2011-01-01,2011,Manufacturer_2,diesel,2014,2014-01-01,3,19545,36,False
Male,NATHAN,HAIL,2015-01-01,2015,Manufacturer_4,diesel,2016,2016-05-08,1,8684,16,True
Male,ANTHONY,PALMER,2013-01-01,2013,Manufacturer_1,diesel,2020,2020-07-03,7,151249,90,False
Female,NATALIE,WATERS,2014-01-01,2014,Manufacturer_3,petrol,2016,2016-03-09,2,13178,26,False
Male,JAMES,LEAL,2007-11-01,2007,Manufacturer_5,petrol,2012,2012-09-18,5,57120,58,False
Male,JUAN,WILCOX,2015-05-01,2015,Manufacturer_3,diesel,2016,2016-01-10,1,4710,8,True
Male,JOSEPH,WALL,2016-04-01,2016,Manufacturer_3,diesel,2019,2019-01-20,3,47550,33,False
Female,BRIANNA,GOULD,2009-08-01,2009,Manufacturer_4,petrol,2010,2010-05-09,1,24235,9,False
Female,AVERY,MONROE,2010-07-01,2010,Manufacturer_1,petrol,2012,2012-05-24,2,37840,22,False
Female,ALEXA,HURST,2014-07-01,2014,Manufacturer_1,diesel,2017,2017-12-17,3,42891,41,False
Female,ISABELLA,ERICKSON,2011-02-01,2011,Manufacturer_4,petrol,2018,2018-09-24,7,171227,91,False
Female,EVELYN,KAUR,2019-01-01,2019,Manufacturer_3,diesel,2020,2020-05-09,1,13610,16,False
Male,JOSHUA,BULLOCK,2007-02-01,2007,Manufacturer_4,petrol,2013,2013-09-17,6,64488,79,False
Male,JONATHAN,ROBERTS,2018-11-01,2018,Manufacturer_5,petrol,2019,2019-02-06,1,11566,3,False
Male,MASON,MCDONALD,2006-09-01,2006,Manufacturer_1,petrol,2010,2010-01-18,4,80928,40,False
Female,EVELYN,BENTLEY,2006-08-01,2006,Manufacturer_1,diesel,2009,2009-12-07,3,63603,40,False
Female,SARAH,OLIVER,2016-07-01,2016,Manufacturer_1,diesel,2020,2020-07-14,4,37056,48,False
Male,DAVID,MONTOYA,2012-10-01,2012,Manufacturer_5,diesel,2017,2017-06-11,5,66490,56,False
Female,SAMANTHA,TORRES,2008-02-01,2008,Manufacturer_3,diesel,2017,2017-07-24,9,180918,113,False
Male,KEVIN,LANDRY,2009-06-01,2009,Manufacturer_2,diesel,2017,2017-03-22,8,182040,93,False
Female,KIMBERLY,MIDDLETON,2006-09-01,2006,Manufacturer_3,petrol,2008,2008-05-12,2,33028,20,False
Female,NATALIE,GOMEZ,2009-09-01,2009,Manufacturer_5,petrol,2013,2013-01-04,4,25012,40,False
Male,ETHAN,CHASE,2008-07-01,2008,Manufacturer_4,petrol,2015,2015-10-20,7,105329,87,False
Female,OLIVIA,STANTON,2019-08-01,2019,Manufacturer_2,petrol,2020,2020-12-17,1,9551,16,True
Male,NATHAN,KENNEDY,2014-04-01,2014,Manufacturer_5,diesel,2020,2020-01-06,6,104514,69,False
Female,ISABELLA,POTTS,2008-11-01,2008,Manufacturer_4,diesel,2012,2012-04-16,4,72972,41,False
Male,ISAAC,ARROYO,2013-02-01,2013,Manufacturer_3,petrol,2020,2020-08-09,7,80892,90,False
Male,JAYDEN,FOWLER,2018-09-01,2018,Manufacturer_5,diesel,2020,2020-12-08,2,33422,27,False
Male,ETHAN,LLOYD,2007-12-01,2007,Manufacturer_4,diesel,2011,2011-03-07,4,69536,39,False
Male,JONATHAN,BOYD,2008-07-01,2008,Manufacturer_5,petrol,2010,2010-02-13,2,22682,19,False
Female,ALEXA,BOYLE,2011-05-01,2011,Manufacturer_3,diesel,2018,2018-10-11,7,68866,89,False
Male,ETHAN,ORR,2014-11-01,2014,Manufacturer_5,petrol,2020,2020-01-07,6,82068,62,False
Female,SOPHIA,KNIGHT,2018-06-01,2018,Manufacturer_3,petrol,2020,2020-06-16,2,8838,24,True
Male,JONATHAN,BURNS,2008-12-01,2008,Manufacturer_4,petrol,2013,2013-01-17,5,48195,49,False
Male,LOGAN,PENNINGTON,2011-04-01,2011,Manufacturer_4,petrol,2012,2012-01-17,1,18982,9,False
Male,ETHAN,LIU,2012-01-01,2012,Manufacturer_4,petrol,2020,2020-08-16,8,98752,103,False
Male,JACOB,FITZGERALD,2014-04-01,2014,Manufacturer_2,diesel,2016,2016-06-14,2,43014,26,False
Female,NATALIE,CHAN,2016-05-01,2016,Manufacturer_2,diesel,2020,2020-01-04,4,51756,44,False
Female,ZOE,PITTS,2015-02-01,2015,Manufacturer_4,petrol,2020,2020-06-01,5,55560,64,False
Male,ISAAC,HOLMES,2017-12-01,2017,Manufacturer_4,petrol,2019,2019-02-23,2,20422,14,False
Male,JUAN,HODGES,2017-02-01,2017,Manufacturer_1,petrol,2020,2020-04-09,3,55338,38,False
Female,ARIA,WALLER,2015-10-01,2015,Manufacturer_3,petrol,2018,2018-11-01,3,40206,37,False
Male,JACOB,HUMPHREY,2006-06-01,2006,Manufacturer_4,diesel,2009,2009-12-13,3,25782,42,False
Male,MICHAEL,WILLIAMSON,2010-08-01,2010,Manufacturer_1,diesel,2016,2016-02-16,6,93714,66,False
Female,EMMA,ARIAS,2010-02-01,2010,Manufacturer_2,diesel,2019,2019-11-02,9,209457,117,False
Female,KIMBERLY,WARNER,2014-03-01,2014,Manufacturer_5,petrol,2017,2017-03-10,3,50100,36,False
Male,ELIJAH,MATTHEWS,2019-12-01,2019,Manufacturer_3,petrol,2020,2020-11-18,1,6667,11,True
Female,SOPHIA,MCCLAIN,2012-07-01,2012,Manufacturer_4,petrol,2018,2018-09-11,6,127158,74,False
Male,ETHAN,CAIN,2019-03-01,2019,Manufacturer_4,petrol,2020,2020-03-22,1,22176,12,False
Female,MADISON,MUELLER,2018-02-01,2018,Manufacturer_3,petrol,2020,2020-06-15,2,38326,28,False
Female,ZOE,LOPEZ,2015-07-01,2015,Manufacturer_1,petrol,2020,2020-02-24,5,106955,55,False
Male,ADRIAN,ESCOBAR,2006-07-01,2006,Manufacturer_3,diesel,2010,2010-06-20,4,54388,47,False
Male,ETHAN,CALDERON,2006-07-01,2006,Manufacturer_2,petrol,2008,2008-08-12,2,16606,25,False
Female,MIA,OCONNOR,2017-06-01,2017,Manufacturer_3,petrol,2020,2020-05-18,3,26532,35,False
Female,ASHLEY,DALTON,2014-06-01,2014,Manufacturer_4,diesel,2020,2020-11-24,6,66756,77,False
Female,OLIVIA,MITCHELL,2010-05-01,2010,Manufacturer_2,petrol,2017,2017-05-11,7,123088,84,False
Female,MADISON,FULLER,2015-01-01,2015,Manufacturer_4,diesel,2020,2020-02-03,5,58245,61,False
Male,ETHAN,MONROE,2012-08-01,2012,Manufacturer_1,diesel,2019,2019-04-19,7,68656,80,False
Male,DAVID,DEJESUS,2017-10-01,2017,Manufacturer_1,diesel,2020,2020-12-14,3,43878,38,False
Male,NATHAN,GRAHAM,2019-10-01,2019,Manufacturer_5,diesel,2020,2020-11-15,1,19040,13,False
Male,ANTHONY,STAFFORD,2014-02-01,2014,Manufacturer_3,diesel,2018,2018-05-15,4,32048,51,False
Male,DANIEL,BENTON,2015-05-01,2015,Manufacturer_3,diesel,2017,2017-12-21,2,21384,31,False
Female,ISABELLA,ADKINS,2011-07-01,2011,Manufacturer_2,petrol,2013,2013-09-05,2,10946,26,False
Male,JACOB,AVILA,2015-10-01,2015,Manufacturer_5,diesel,2019,2019-10-15,4,44636,48,False
Female,ARIA,FRANCO,2011-12-01,2011,Manufacturer_5,diesel,2019,2019-05-14,8,42072,89,False
Male,ANTHONY,HARTMAN,2006-06-01,2006,Manufacturer_2,petrol,2013,2013-12-08,7,50197,90,False
Female,ELIZABETH,BLACKWELL,2006-03-01,2006,Manufacturer_1,diesel,2013,2013-02-14,7,114639,83,False
Female,MADISON,CORTES,2005-03-01,2005,Manufacturer_3,petrol,2013,2013-02-13,8,185336,95,False
Male,JOSEPH,NORRIS,2014-03-01,2014,Manufacturer_5,petrol,2018,2018-05-14,4,79892,50,False
Female,SAMANTHA,ARIAS,2006-08-01,2006,Manufacturer_2,diesel,2012,2012-07-04,6,131790,71,False
Female,VANESSA,ENGLISH,2013-09-01,2013,Manufacturer_5,petrol,2020,2020-06-15,7,47831,81,False
Male,CHRISTOPHER,TOWNSEND,2014-08-01,2014,Manufacturer_3,diesel,2020,2020-01-13,6,96984,65,False
Male,RYAN,LOZANO,2014-10-01,2014,Manufacturer_3,petrol,2020,2020-02-14,6,80418,64,False
Male,SEBASTIAN,NIXON,2009-04-01,2009,Manufacturer_2,petrol,2015,2015-04-10,6,58824,72,False
Male,NOAH,KENT,2016-11-01,2016,Manufacturer_3,petrol,2017,2017-11-01,1,24190,12,False
Male,ETHAN,ANTHONY,2007-04-01,2007,Manufacturer_5,petrol,2014,2014-05-08,7,99918,85,False
Male,JOSE,SULLIVAN,2016-11-01,2016,Manufacturer_2,petrol,2017,2017-06-05,1,24878,7,False
Male,NATHAN,GOODMAN,2016-05-01,2016,Manufacturer_2,diesel,2020,2020-09-12,4,94380,52,False
Male,JESUS,RUSSELL,2005-07-01,2005,Manufacturer_4,diesel,2011,2011-01-10,6,69162,66,False
Female,ASHLEY,HAYNES,2010-09-01,2010,Manufacturer_4,petrol,2017,2017-12-07,7,136136,87,False
Male,JULIAN,LE,2013-03-01,2013,Manufacturer_4,petrol,2017,2017-05-08,4,78452,50,False
Female,ISABELLA,FRENCH,2009-07-01,2009,Manufacturer_4,petrol,2014,2014-12-22,5,44505,65,False
Male,ANGEL,WARD,2018-10-01,2018,Manufacturer_5,petrol,2020,2020-01-05,2,13584,15,False
Male,JACOB,PIERCE,2019-02-01,2019,Manufacturer_5,petrol,2020,2020-01-07,1,11925,11,False
Female,KIMBERLY,STEWART,2015-11-01,2015,Manufacturer_1,petrol,2018,2018-03-13,3,33876,28,False
Male,JAYDEN,LIU,2006-09-01,2006,Manufacturer_4,diesel,2007,2007-05-12,1,22034,8,False
Male,BENJAMIN,MCMILLAN,2016-07-01,2016,Manufacturer_3,diesel,2019,2019-10-06,3,33960,39,False
Female,KIMBERLY,SCOTT,2012-10-01,2012,Manufacturer_1,diesel,2015,2015-06-02,3,20631,32,False
Male,JACOB,CASEY,2013-12-01,2013,Manufacturer_5,diesel,2020,2020-12-17,7,115507,84,False
Female,SOPHIA,MOON,2010-01-01,2010,Manufacturer_2,petrol,2012,2012-05-01,2,32492,28,False
Female,JESSICA,MORA,2009-02-01,2009,Manufacturer_2,diesel,2015,2015-07-04,6,29190,77,False
Female,SOFIA,PARRA,2009-09-01,2009,Manufacturer_4,petrol,2013,2013-10-14,4,25244,49,False
Female,EMILY,ESPINOSA,2015-08-01,2015,Manufacturer_4,petrol,2020,2020-03-09,5,42695,55,False
Male,ETHAN,RAMOS,2011-12-01,2011,Manufacturer_3,diesel,2018,2018-11-01,7,113470,83,False
Female,CAMILA,DECKER,2014-03-01,2014,Manufacturer_4,diesel,2020,2020-09-20,6,54852,78,False
Female,HAILEY,GREEN,2012-06-01,2012,Manufacturer_4,petrol,2019,2019-09-07,7,80031,87,False
Male,CHRISTIAN,ALEXANDER,2006-03-01,2006,Manufacturer_4,petrol,2014,2014-01-10,8,191880,94,False
Female,CHLOE,TYLER,2018-03-01,2018,Manufacturer_3,petrol,2020,2020-05-14,2,45910,26,False
Female,SOPHIA,STUART,2010-10-01,2010,Manufacturer_4,petrol,2013,2013-11-17,3,31611,37,False
Male,ANDREW,CAMPOS,2010-01-01,2010,Manufacturer_2,diesel,2012,2012-08-17,2,18590,31,False
Female,MADISON,BOND,2013-04-01,2013,Manufacturer_2,diesel,2020,2020-09-14,7,85694,89,False
Female,EMMA,RUSH,2018-06-01,2018,Manufacturer_4,petrol,2020,2020-09-08,2,26320,27,False
Female,ALEXA,HOLT,2018-11-01,2018,Manufacturer_3,diesel,2020,2020-05-19,2,46496,18,False
Female,KIMBERLY,BRENNAN,2014-01-01,2014,Manufacturer_3,diesel,2020,2020-06-14,6,145818,77,False
Male,MICHAEL,ANDERSON,2015-08-01,2015,Manufacturer_2,petrol,2016,2016-09-04,1,15690,13,False
Female,ISABELLA,PARRISH,2006-07-01,2006,Manufacturer_4,petrol,2011,2011-10-24,5,81590,63,False
Male,CHRISTOPHER,CANNON,2018-04-01,2018,Manufacturer_2,diesel,2020,2020-02-04,2,23268,22,False
Male,NOAH,JOHNSTON,2012-11-01,2012,Manufacturer_3,petrol,2019,2019-08-18,7,138943,81,False
Female,MIA,RIVERS,2005-10-01,2005,Manufacturer_3,petrol,2012,2012-08-24,7,123613,82,False
Female,VICTORIA,RAYMOND,2019-09-01,2019,Manufacturer_5,petrol,2020,2020-06-11,1,11724,9,False
Female,CHARLOTTE,GILMORE,2005-01-01,2005,Manufacturer_4,petrol,2010,2010-07-21,5,23495,66,False
Male,MATTHEW,WALKER,2012-04-01,2012,Manufacturer_1,petrol,2016,2016-03-12,4,30724,47,False
Male,MASON,BARNES,2011-06-01,2011,Manufacturer_3,petrol,2013,2013-08-18,2,46664,26,False
Male,JACOB,SHIELDS,2006-01-01,2006,Manufacturer_2,petrol,2007,2007-09-10,1,15577,20,False
Female,VICTORIA,CRAWFORD,2018-07-01,2018,Manufacturer_2,diesel,2020,2020-10-17,2,34064,27,False
Male,AIDEN,TANG,2016-05-01,2016,Manufacturer_1,diesel,2020,2020-07-21,4,67360,50,False
Female,ISABELLA,SHEPARD,2015-09-01,2015,Manufacturer_2,petrol,2020,2020-01-05,5,118260,52,False
Female,EMILY,TYLER,2013-02-01,2013,Manufacturer_5,petrol,2020,2020-04-03,7,113827,86,False
Male,JAYDEN,SHARP,2014-12-01,2014,Manufacturer_2,petrol,2020,2020-01-22,6,39012,61,False
Male,ALEXANDER,SHEPHERD,2016-03-01,2016,Manufacturer_2,petrol,2020,2020-05-14,4,59392,50,False
Male,MICHAEL,PENA,2012-09-01,2012,Manufacturer_5,petrol,2013,2013-10-04,1,7160,13,True
Male,ETHAN,BANKS,2013-01-01,2013,Manufacturer_2,petrol,2017,2017-09-03,4,75136,56,False
Female,GENESIS,CABRERA,2017-11-01,2017,Manufacturer_5,petrol,2020,2020-08-23,3,63078,33,False
Male,LOGAN,BULLOCK,2019-11-01,2019,Manufacturer_1,petrol,2020,2020-07-24,1,17331,8,False
Male,OLIVER,ALLISON,2014-04-01,2014,Manufacturer_5,petrol,2017,2017-12-16,3,24249,44,False
Female,ALLISON,TREJO,2018-08-01,2018,Manufacturer_2,petrol,2020,2020-11-05,2,22170,27,False
Male,AIDEN,SAUNDERS,2009-09-01,2009,Manufacturer_2,petrol,2011,2011-09-12,2,17226,24,False
Male,ALEXANDER,HUMPHREY,2018-11-01,2018,Manufacturer_4,petrol,2020,2020-02-24,2,45026,15,False
Male,JOSEPH,BAKER,2018-09-01,2018,Manufacturer_1,diesel,2020,2020-02-13,2,26088,17,False
Male,JOSEPH,SIMS,2009-09-01,2009,Manufacturer_5,petrol,2014,2014-02-18,5,38615,53,False
Female,ISABELLA,ROBERTSON,2017-03-01,2017,Manufacturer_2,diesel,2020,2020-11-23,3,74001,44,False
Male,DYLAN,MCMAHON,2007-10-01,2007,Manufacturer_4,diesel,2008,2008-06-18,1,12595,8,False
Male,ETHAN,ROACH,2006-05-01,2006,Manufacturer_2,petrol,2011,2011-07-15,5,23410,62,False
Female,ANDREA,WILCOX,2005-11-01,2005,Manufacturer_5,diesel,2013,2013-11-17,8,107936,96,False
Male,ISAAC,MCKAY,2005-07-01,2005,Manufacturer_3,diesel,2011,2011-04-14,6,36546,69,False
Male,AARON,JARAMILLO,2013-10-01,2013,Manufacturer_1,diesel,2015,2015-06-17,2,30180,20,False
Female,ABIGAIL,TRUJILLO,2010-12-01,2010,Manufacturer_2,diesel,2013,2013-06-12,3,27987,30,False
Female,OLIVIA,BARRON,2013-07-01,2013,Manufacturer_2,petrol,2017,2017-06-15,4,50164,47,False
Female,NATALIE,STEIN,2015-12-01,2015,Manufacturer_4,petrol,2020,2020-09-14,5,119540,57,False
Female,SOPHIA,DOUGLAS,2011-06-01,2011,Manufacturer_1,petrol,2013,2013-08-02,2,24702,26,False
Female,EMILY,DICKERSON,2009-10-01,2009,Manufacturer_3,petrol,2010,2010-07-24,1,17861,9,False
Male,ANDREW,RASMUSSEN,2010-04-01,2010,Manufacturer_4,diesel,2013,2013-11-07,3,65988,43,False
Male,LOGAN,WEAVER,2008-04-01,2008,Manufacturer_5,diesel,2016,2016-12-08,8,83264,104,False
Female,ABIGAIL,NORMAN,2008-10-01,2008,Manufacturer_5,petrol,2011,2011-10-11,3,33636,36,False
Male,JOSE,REILLY,2015-02-01,2015,Manufacturer_3,petrol,2019,2019-05-22,4,65200,51,False
Male,NOAH,BOOTH,2005-08-01,2005,Manufacturer_1,petrol,2010,2010-06-12,5,83155,58,False
Male,LIAM,SIMMONS,2009-07-01,2009,Manufacturer_1,petrol,2018,2018-04-17,9,156429,105,False
Female,CHLOE,ESQUIVEL,2008-07-01,2008,Manufacturer_3,diesel,2009,2009-11-17,1,16700,16,False
Female,VICTORIA,RIVERS,2005-08-01,2005,Manufacturer_3,diesel,2006,2006-11-08,1,11144,15,False
Female,KIMBERLY,COFFEY,2015-04-01,2015,Manufacturer_1,petrol,2020,2020-07-16,5,86480,63,False
Male,CHRISTOPHER,FARLEY,2013-03-01,2013,Manufacturer_4,diesel,2020,2020-09-11,7,121933,90,False
Male,DANIEL,CAMPOS,2016-12-01,2016,Manufacturer_3,diesel,2020,2020-05-07,4,24284,41,False
Female,ELIZABETH,MAHONEY,2011-01-01,2011,Manufacturer_1,diesel,2020,2020-06-05,9,213102,113,False
Female,ANDREA,MOORE,2006-01-01,2006,Manufacturer_4,diesel,2010,2010-08-12,4,41280,55,False
Female,JASMINE,MILLER,2014-03-01,2014,Manufacturer_5,diesel,2016,2016-07-15,2,39082,28,False
Male,NATHAN,EATON,2018-03-01,2018,Manufacturer_2,petrol,2020,2020-09-21,2,12138,30,False
Female,GRACE,LOPEZ,2006-11-01,2006,Manufacturer_1,petrol,2011,2011-02-18,5,81660,51,False
Male,ADRIAN,GROSS,2006-04-01,2006,Manufacturer_2,petrol,2008,2008-06-24,2,37080,26,False
Female,ELIZABETH,FLOYD,2010-02-01,2010,Manufacturer_2,petrol,2017,2017-11-02,7,109354,93,False
Female,VICTORIA,POLLARD,2008-07-01,2008,Manufacturer_5,diesel,2012,2012-04-10,4,87464,45,False
Female,ALLISON,BARRERA,2012-10-01,2012,Manufacturer_5,petrol,2017,2017-11-01,5,28465,61,False
Female,SOFIA,HOLT,2005-01-01,2005,Manufacturer_1,diesel,2009,2009-08-13,4,64360,55,False
Male,JONATHAN,BOYER,2015-06-01,2015,Manufacturer_3,petrol,2020,2020-10-21,5,112695,64,False
Male,MASON,CHANDLER,2008-02-01,2008,Manufacturer_1,diesel,2016,2016-11-12,8,179800,105,False
Male,JOSEPH,WILLIS,2019-05-01,2019,Manufacturer_4,diesel,2020,2020-04-03,1,21019,11,False
Male,JOSE,MOSLEY,2011-04-01,2011,Manufacturer_2,petrol,2018,2018-06-22,7,80752,86,False
Female,SOFIA,PEARSON,2019-10-01,2019,Manufacturer_2,diesel,2020,2020-03-05,1,12563,5,False
Female,ASHLEY,DOMINGUEZ,2010-05-01,2010,Manufacturer_4,diesel,2017,2017-08-19,7,94143,87,False
Male,ANGEL,NASH,2013-07-01,2013,Manufacturer_4,petrol,2020,2020-03-20,7,146209,80,False
Male,LOGAN,FITZGERALD,2009-03-01,2009,Manufacturer_1,diesel,2018,2018-01-02,9,48186,106,False
Male,MICHAEL,HENDRIX,2018-11-01,2018,Manufacturer_3,diesel,2020,2020-06-02,2,14074,19,False
